"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4692]","OCEAN ISLAND","ICELAND / ICELAND / THEISTAREYKIR VOLCANIC FIELD / NORTHERN ICELAND RIFT ZONE","PLUGS","65.8","65.8","-16.97","-16.97","SAE","","","s_TH29 [4692]","PICRITE [4692]","","","","","","","","","VOL","","","","","WR [4692] ","47.47","0.5","","13.41","","0.91","7.39","","12.5","15.73","0.155","","0.011","1.13","0.024","","","","","","","","","","","","","","","","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","5100","207","2176","","","63","559","95","50","11","","","","","0.24","57","14.1","19.1","0.47","","","","","","","","","","","","","3.67","0.54","1.84","0.36","2.31","1","0.45","1.72","0.32","2.2","0.48","1.41","0.22","1.45","0.23","0.62","0.041","","","0.0005785","","","","","","","","0.022","0.007","","","","","","","","","","","","","","","0.1302","","","","","","","","","","100134",
"[19973]","CONTINENTAL FLOOD BASALT","EMEISHAN / SICHUAN PROVINCE","JANCHUAN","27","27","100","100","SAE","","","s_JAN-1 [19973]","PICRITE [19973]","","","","","","","","","VOL","","","","","WR [19973] ","","","","","0.203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00226","0.00048","0.00672","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0017","0.00127","0.0073","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001365",
"[4605]","CONTINENTAL FLOOD BASALT","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / WEST GREENLAND / VAIGAT FORMATION, NAUJANGUIT MEMBER","JAMA, DISKO (QEGERTARSSUAQ)","70.2","70.2","-54.8433","-54.8433","SAE","5","5","s_176466 [4605]","PICRITE [4605]","","","","CENOZOIC [4605]","","","","","VOL","","","","","WR [4605] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","243","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.71471","","","","","","","","","","","","","","","","","","","","","100397",
"[20175]","CONTINENTAL FLOOD BASALT","EMEISHAN / SONG DA DISTRICT","NEAR SON LA CITY","21","21","104","104","SAE","","","s_SL-6 [20175]","PICRITE [20175]","","","","PERMIAN [20175]","","","","","VOL","","","","","WR [20175] ","43.68","0.5","","9.76","","","","9.79","7.69","21.66","0.16","","0.03","0.51","0.03","","","","","","","","","","","","","","","","5.18","","","","","","","","","","","","","","3.3","","","","","","","","","","","","","","29.4","","194","1575","","","87.4","892","97","78.2","9.55","","","","","6.2","38.5","13","24","0.5","","0.00092","0.00039","0.00405","","","","","","","","","3","0.8","2.3","0.4","2.1","0.82","0.45","1.39","0.3","2.08","0.46","1.28","0.2","1.24","0.19","0.68","0.05","","","","0.00031","0.00405","","","","","","0.16","0.05","0.512996","","","0.704599","","","","","","","","","","","","","","","","","","","","","1026477",
"[20243]","CONVERGENT MARGIN","SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CENOZOIC","BOL^SHOI KLYUCH BROOK, OSTROGORSKOE PLATEAU","48","48","135","135","SAE","","","s_CHA-1485 [20243]","PICRITE [20243]","","","UPPER [20243]","MIOCENE [20243]","","","","","VOL","","","","","WR [20243] ","41.39","2.85","","15.9","","1.38","9.76","","8.98","13.92","0.19","","1.13","2.87","0.67","0.98","","","","","","","","","","","","","","","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.24","","150","320","","","38","270","","","","","","","","51","875","19.39","319","59","","","","","","","","","","","","0.5","407","35.07","74.15","8.95","39.48","7.7","2.45","7.02","0.92","4.71","0.83","2.2","","1.49","0.19","6.56","4.95","","","","","","","","","4.2","","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","1035122",
"[2177]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM-KEWEENAWAN / NORTH SHORE VOLCANIC GROUP","GRAND PORTAGE ISLAND, MINNESOTA","46.75","48","-89.7","-92.1","SAE","","","s_GP-13A [2177]","PICRITE [2177]","","","MESO [2177]","PROTEROZOIC [2177]","","","","","VOL","","","","","WR [2177] ","","","","","","","","","","7.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0003044","0.0002739","","","","","","","","","","","","","","","","","","","","","","","","0.22943","","5.435","","","","","","","","104505",
"[2177]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM-KEWEENAWAN / NORTH SHORE VOLCANIC GROUP","GRAND PORTAGE ISLAND, MINNESOTA","46.75","48","-89.7","-92.1","SAE","","","s_GP-17 [2177]","PICRITE [2177]","","","MESO [2177]","PROTEROZOIC [2177]","","","","","VOL","","","","","WR [2177] ","","","","","","","","","","8.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0006958","0.0001727","","","","","","","","","","","","","","","","","","","","","","","","0.50127","","20.41","","","","","","","","104506",
"[2177]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM-KEWEENAWAN / POWDER MILL GROUP","LOWER SIEMENS CREEK VOLCANICS, NEAR WHITECAP SKI RESORT, ABOUT 2 MILES NORTH OF UPSON, WISCONSIN","46.75","48","-89.7","-92.1","SAE","","","s_KV-23 [2177]","PICRITE [2177]","","","MESO [2177]","PROTEROZOIC [2177]","","","","","VOL","","","","","WR [2177] ","","","","","","","","","","9.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000083","0.0005057","","","","","","","","","","","","","","","","","","","","","","","","0.14994","","0.7928","","","","","","","","104507",
"[2177]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM-KEWEENAWAN / POWDER MILL GROUP","LOWER SIEMENS CREEK VOLCANICS, NEAR WHITECAP SKI RESORT, ABOUT 2 MILES NORTH OF UPSON, WISCONSIN","46.75","48","-89.7","-92.1","SAE","","","s_KV-23 [2177]","PICRITE [2177]","","","MESO [2177]","PROTEROZOIC [2177]","","","","","VOL","","","","","WR [2177] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0001207","0.0005398","","","","","","","","","","","","","","","","","","","","","","","","0.1507","","1.0932","","","","","","","","104508",
"[2177]","CONTINENTAL FLOOD BASALT","MIDCONTINENT RIFT SYSTEM-KEWEENAWAN / POWDER MILL GROUP","SOUTHWEST OF CLUB LAKE AREA, WISCONSIN","46.75","48","-89.7","-92.1","SAE","","","s_91KE521 [2177]","PICRITE [2177]","","","MESO [2177]","PROTEROZOIC [2177]","","","","","VOL","","","","","WR [2177] ","","","","","","","","","","16.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000031","","","","","","","","","","","","","","","","","","","","","","","","0.1553","","","","","","","","","","104509",
